text,label,source
i feel like something bad is going to happen,Anxiety,Synthetic
Panic and fear are constant,Anxiety,Synthetic
i'm happy with how things are going,Normal,Synthetic
life is treating me well,Normal,Synthetic
feeling good about myself,Normal,Synthetic
Everything feels urgent and overwhelming,Stress,Synthetic
Fear grips me constantly,Anxiety,Synthetic
i'm exhausted from overwork,Stress,Synthetic
I don't see the point in anything,Depression,Synthetic
I'm terrified of the unknown,Anxiety,Synthetic
I can't keep up with everything,Stress,Synthetic
I feel at ease with everything,Normal,Synthetic
Deadline pressure is getting to me,Stress,Synthetic
I feel empty and numb inside,Depression,Synthetic
My anxiety is out of control,Anxiety,Synthetic
stress is affecting my sleep,Stress,Synthetic
Panic sets in without warning,Anxiety,Synthetic
i feel at ease with everything,Normal,Synthetic
things are going smoothly,Normal,Synthetic
Too many deadlines to handle,Stress,Synthetic
panic sets in without warning,Anxiety,Synthetic
fear is controlling my life,Anxiety,Synthetic
My mind won't stop racing,Anxiety,Synthetic
can't seem to catch a break,Stress,Synthetic
Everything feels just right,Normal,Synthetic
i'm worried sick about everything,Anxiety,Synthetic
i'm losing the will to continue,Depression,Synthetic
i feel balanced and at peace,Normal,Synthetic
i'm enjoying every moment,Normal,Synthetic
i wake up with dread every morning,Anxiety,Synthetic
my mental health is good,Normal,Synthetic
i feel content and peaceful,Normal,Synthetic
Constant fear and nervousness,Anxiety,Synthetic
feeling pressured from all directions,Stress,Synthetic
I'm invisible to everyone,Depression,Synthetic
Happy and healthy today,Normal,Synthetic
Overthinking is ruining my life,Anxiety,Synthetic
I feel dead inside,Depression,Synthetic
Heart palpitations from anxiety,Anxiety,Synthetic
I'm overwhelmed with responsibilities,Stress,Synthetic
had a great day at work today,Normal,Synthetic
i'm scared to leave my house,Anxiety,Synthetic
i feel dead inside,Depression,Synthetic
everything is hopeless,Depression,Synthetic
Feeling joyful and optimistic,Normal,Synthetic
everything is going well in my life,Normal,Synthetic
I feel like a burden to everyone,Depression,Synthetic
What if everything goes wrong,Anxiety,Synthetic
Worry consumes my every thought,Anxiety,Synthetic
overthinking is ruining my life,Anxiety,Synthetic
i'm in a great headspace,Normal,Synthetic
So much pressure from all sides,Stress,Synthetic
i'm consumed by sadness,Depression,Synthetic
i'm satisfied with my progress,Normal,Synthetic
i love spending time with my family,Normal,Synthetic
i'm paranoid about everything,Anxiety,Synthetic
I feel completely alone,Depression,Synthetic
I'm doing really well lately,Normal,Synthetic
I'm happy with how things are going,Normal,Synthetic
The pressure is mounting,Stress,Synthetic
Fear is controlling my life,Anxiety,Synthetic
Too many expectations to meet,Stress,Synthetic
endless sadness and pain,Depression,Synthetic
Life has lost all meaning,Depression,Synthetic
So much to do so little time,Stress,Synthetic
i'm just going through the motions,Depression,Synthetic
Anxiety is overwhelming me,Anxiety,Synthetic
I lost interest in everything,Depression,Synthetic
I'm nervous about everything,Anxiety,Synthetic
I feel like I'm drowning in tasks,Stress,Synthetic
i'm stressed about exams,Stress,Synthetic
i'm running on empty,Stress,Synthetic
Deep sadness that won't go away,Depression,Synthetic
Deadline after deadline is exhausting,Stress,Synthetic
Everything is hopeless,Depression,Synthetic
my relationships are healthy and supportive,Normal,Synthetic
No motivation to do anything,Depression,Synthetic
what if everything goes wrong,Anxiety,Synthetic
I'm stressed about the future,Stress,Synthetic
Can't stop the anxious thoughts,Anxiety,Synthetic
feeling burnt out from work,Stress,Synthetic
i'm stressed about money,Stress,Synthetic
feeling happy and fulfilled,Normal,Synthetic
I can't relax because of work,Stress,Synthetic
Had a great day at work today,Normal,Synthetic
I'm consumed by worry,Anxiety,Synthetic
My relationships are healthy and supportive,Normal,Synthetic
Enjoying my hobbies and free time,Normal,Synthetic
I'm tired of existing,Depression,Synthetic
I'm consumed by sadness,Depression,Synthetic
I'm in a great headspace,Normal,Synthetic
i'm having panic attacks frequently,Anxiety,Synthetic
Stress is affecting my sleep,Stress,Synthetic
I'm afraid of everything,Anxiety,Synthetic
i have so much work to do and not enough time,Stress,Synthetic
the pressure never stops,Stress,Synthetic
feeling blessed and thankful,Normal,Synthetic
can't stop the anxious thoughts,Anxiety,Synthetic
i'm stressed about the future,Stress,Synthetic
my hands are shaking from nervousness,Anxiety,Synthetic
feeling completely defeated,Depression,Synthetic
I'm running on empty,Stress,Synthetic
i feel completely alone,Depression,Synthetic
Today is a good day,Normal,Synthetic
i'm consumed by worry,Anxiety,Synthetic
Today was a productive day,Normal,Synthetic
I'm paranoid about everything,Anxiety,Synthetic
i'm stretched too thin,Stress,Synthetic
today was a productive day,Normal,Synthetic
I wake up with dread every morning,Anxiety,Synthetic
Feeling burnt out from work,Stress,Synthetic
happy and healthy today,Normal,Synthetic
I'm scared of failure,Anxiety,Synthetic
Work stress is killing me,Stress,Synthetic
I'm enjoying every moment,Normal,Synthetic
I need a break from everything,Stress,Synthetic
feeling positive and energetic,Normal,Synthetic
everything feels urgent and overwhelming,Stress,Synthetic
Life is beautiful and I'm grateful,Normal,Synthetic
My hands are shaking from nervousness,Anxiety,Synthetic
i'm grateful for everything i have,Normal,Synthetic
i need a break from everything,Stress,Synthetic
i'm invisible to everyone,Depression,Synthetic
I'm grateful for everything I have,Normal,Synthetic
deep sadness that won't go away,Depression,Synthetic
i'm excited about the future,Normal,Synthetic
No time for myself anymore,Stress,Synthetic
I love spending time with my family,Normal,Synthetic
I feel anxious for no reason,Anxiety,Synthetic
today is a good day,Normal,Synthetic
I can't get out of bed,Depression,Synthetic
i feel hopeless about the future,Depression,Synthetic
i feel like i'm drowning in tasks,Stress,Synthetic
I'm having panic attacks frequently,Anxiety,Synthetic
Too many things on my plate right now,Stress,Synthetic
I don't care about anything anymore,Depression,Synthetic
The pressure never stops,Stress,Synthetic
nothing matters anymore,Depression,Synthetic
Everything is piling up,Stress,Synthetic
i'm nervous about everything,Anxiety,Synthetic
nothing makes me feel better,Depression,Synthetic
I can't calm down no matter what,Anxiety,Synthetic
I feel like giving up,Depression,Synthetic
Constant state of nervousness,Anxiety,Synthetic
the stress is getting unbearable,Stress,Synthetic
Feeling blessed and thankful,Normal,Synthetic
i'm scared of failure,Anxiety,Synthetic
overwhelming sense of despair,Depression,Synthetic
i need to destress somehow,Stress,Synthetic
I'm stretched too thin,Stress,Synthetic
i hate myself and my life,Depression,Synthetic
i can't relax because of work,Stress,Synthetic
I'm losing the will to continue,Depression,Synthetic
Endless sadness and pain,Depression,Synthetic
I can't remember being happy,Depression,Synthetic
i can't breathe properly when i'm anxious,Anxiety,Synthetic
my mind won't stop racing,Anxiety,Synthetic
I need to destress somehow,Stress,Synthetic
Overwhelming sense of despair,Depression,Synthetic
Everything is going well in my life,Normal,Synthetic
the pressure is mounting,Stress,Synthetic
my heart is racing and i feel scared,Anxiety,Synthetic
heart palpitations from anxiety,Anxiety,Synthetic
I'm under so much pressure,Stress,Synthetic
living in constant fear,Anxiety,Synthetic
no one understands my pain,Depression,Synthetic
no time for myself anymore,Stress,Synthetic
My mental health is good,Normal,Synthetic
i woke up feeling refreshed,Normal,Synthetic
deadline pressure is getting to me,Stress,Synthetic
i'm drowning in darkness,Depression,Synthetic
work-life balance is non-existent,Stress,Synthetic
my anxiety is out of control,Anxiety,Synthetic
i'm terrified of social situations,Anxiety,Synthetic
so much to do so little time,Stress,Synthetic
i'm worthless and useless,Depression,Synthetic
i don't see the point in anything,Depression,Synthetic
the darkness won't lift,Depression,Synthetic
i feel loved and supported,Normal,Synthetic
i'm terrified of the unknown,Anxiety,Synthetic
i'm overwhelmed with responsibilities,Stress,Synthetic
Nothing brings me joy anymore,Depression,Synthetic
deadline after deadline is exhausting,Stress,Synthetic
I'm in a good mood today,Normal,Synthetic
good vibes only today,Normal,Synthetic
I woke up feeling refreshed,Normal,Synthetic
I'm scared of what the future holds,Anxiety,Synthetic
I'm exhausted from overwork,Stress,Synthetic
I hate myself and my life,Depression,Synthetic
i'm constantly behind schedule,Stress,Synthetic
i can't calm down no matter what,Anxiety,Synthetic
peaceful and content,Normal,Synthetic
so much pressure from all sides,Stress,Synthetic
Living in constant fear,Anxiety,Synthetic
I'm terrified of social situations,Anxiety,Synthetic
I want to disappear forever,Depression,Synthetic
i had a relaxing weekend,Normal,Synthetic
work is really stressing me out,Stress,Synthetic
I feel hopeless about the future,Depression,Synthetic
I'm stressed about money,Stress,Synthetic
Feeling confident and strong,Normal,Synthetic
i lost interest in everything,Depression,Synthetic
everything is piling up,Stress,Synthetic
worry consumes my every thought,Anxiety,Synthetic
I am feeling relaxed and happy today,Normal,Synthetic
life is not worth living,Depression,Synthetic
I feel broken beyond repair,Depression,Synthetic
i can't remember being happy,Depression,Synthetic
I'm stressed about exams,Stress,Synthetic
I'm scared to leave my house,Anxiety,Synthetic
i feel broken beyond repair,Depression,Synthetic
can't seem to finish anything on time,Stress,Synthetic
i'm scared of what the future holds,Anxiety,Synthetic
The workload is crushing me,Stress,Synthetic
I'm excited about the future,Normal,Synthetic
everything feels meaningless,Depression,Synthetic
i'm doing really well lately,Normal,Synthetic
I'm burning the candle at both ends,Stress,Synthetic
feeling joyful and optimistic,Normal,Synthetic
i feel anxious for no reason,Anxiety,Synthetic
i wish i could sleep forever,Depression,Synthetic
life is beautiful and i'm grateful,Normal,Synthetic
I'm just going through the motions,Depression,Synthetic
I feel on edge all the time,Anxiety,Synthetic
Life is not worth living,Depression,Synthetic
feeling confident and strong,Normal,Synthetic
Everything feels meaningless,Depression,Synthetic
I feel content and peaceful,Normal,Synthetic
Work demands are too high,Stress,Synthetic
I feel balanced and at peace,Normal,Synthetic
panic and fear are constant,Anxiety,Synthetic
My heart is racing and I feel scared,Anxiety,Synthetic
i can't function because of worry,Anxiety,Synthetic
i'm trapped in misery,Depression,Synthetic
Can't seem to catch a break,Stress,Synthetic
Life is treating me well,Normal,Synthetic
my anxiety is crippling,Anxiety,Synthetic
work is consuming my life,Stress,Synthetic
Nothing makes me feel better,Depression,Synthetic
The stress is getting unbearable,Stress,Synthetic
I'm suffocating in depression,Depression,Synthetic
Feeling good about myself,Normal,Synthetic
Feeling cheerful and bright,Normal,Synthetic
I'm trapped in misery,Depression,Synthetic
I feel loved and supported,Normal,Synthetic
I'm satisfied with my progress,Normal,Synthetic
Feeling positive and energetic,Normal,Synthetic
Feeling pressured from all directions,Stress,Synthetic
I had a relaxing weekend,Normal,Synthetic
i don't care about anything anymore,Depression,Synthetic
work demands are too high,Stress,Synthetic
The darkness won't lift,Depression,Synthetic
i feel like a burden to everyone,Depression,Synthetic
I feel like I'm losing control,Anxiety,Synthetic
work stress is killing me,Stress,Synthetic
enjoying my hobbies and free time,Normal,Synthetic
I wish I could sleep forever,Depression,Synthetic
I can't function because of worry,Anxiety,Synthetic
constant state of nervousness,Anxiety,Synthetic
I'm worried sick about everything,Anxiety,Synthetic
I feel disconnected from everything,Depression,Synthetic
i want to disappear forever,Depression,Synthetic
i'm suffocating in depression,Depression,Synthetic
i feel on edge all the time,Anxiety,Synthetic
i can't stop worrying about everything,Anxiety,Synthetic
everything feels just right,Normal,Synthetic
i feel like i'm losing control,Anxiety,Synthetic
Anxiety attacks are happening daily,Anxiety,Synthetic
life has lost all meaning,Depression,Synthetic
too many deadlines to handle,Stress,Synthetic
i feel emotionally stable,Normal,Synthetic
i am feeling relaxed and happy today,Normal,Synthetic
i love my life right now,Normal,Synthetic
I have so much work to do and not enough time,Stress,Synthetic
i'm afraid of everything,Anxiety,Synthetic
Good vibes only today,Normal,Synthetic
no motivation to do anything,Depression,Synthetic
i can't keep up with everything,Stress,Synthetic
I feel emotionally stable,Normal,Synthetic
I'm drowning in darkness,Depression,Synthetic
i feel empty and numb inside,Depression,Synthetic
i'm in a good mood today,Normal,Synthetic
Work is really stressing me out,Stress,Synthetic
i'm tired of existing,Depression,Synthetic
I feel like something bad is going to happen,Anxiety,Synthetic
Feeling completely defeated,Depression,Synthetic
Work is consuming my life,Stress,Synthetic
i feel like giving up,Depression,Synthetic
nothing brings me joy anymore,Depression,Synthetic
Things are going smoothly,Normal,Synthetic
Peaceful and content,Normal,Synthetic
I can't breathe properly when I'm anxious,Anxiety,Synthetic
i can't control my racing thoughts,Anxiety,Synthetic
Life feels like a punishment,Depression,Synthetic
fear grips me constantly,Anxiety,Synthetic
constant fear and nervousness,Anxiety,Synthetic
Feeling happy and fulfilled,Normal,Synthetic
I love my life right now,Normal,Synthetic
anxiety is overwhelming me,Anxiety,Synthetic
I'm worthless and useless,Depression,Synthetic
i feel calm and centered,Normal,Synthetic
I can't stop worrying about everything,Anxiety,Synthetic
No one understands my pain,Depression,Synthetic
anxiety attacks are happening daily,Anxiety,Synthetic
i feel disconnected from everything,Depression,Synthetic
i can't get out of bed,Depression,Synthetic
too many expectations to meet,Stress,Synthetic
I'm constantly behind schedule,Stress,Synthetic
i'm burning the candle at both ends,Stress,Synthetic
the workload is crushing me,Stress,Synthetic
too many things on my plate right now,Stress,Synthetic
My anxiety is crippling,Anxiety,Synthetic
i'm under so much pressure,Stress,Synthetic
life feels like a punishment,Depression,Synthetic
I feel calm and centered,Normal,Synthetic
I can't control my racing thoughts,Anxiety,Synthetic
feeling cheerful and bright,Normal,Synthetic
Work-life balance is non-existent,Stress,Synthetic
Nothing matters anymore,Depression,Synthetic
Can't seem to finish anything on time,Stress,Synthetic
